en,nl,it,de,es,pl,sq,ar,bn,bg,zh,cs,da,fa,fr,el,gu,he,hi,hu,is,id,ja,quc,ko,mt,mam,no,pt,ro,ru,si,sl,sw,ta,tet,tr,tzj,uk,vi,cy
"Planets: A Planet, such as Earth or Jupiter, is a large object that orbits a star such as the Sun. A planet doesn’t make its own light.",,,,,,,,,,,,,,,,,,,,,,惑星：地球や木星のような惑星は、太陽のような星のまわりを回る大きな球状の天体です。惑星は、それ自身では光りません。,,,,,,,,,,,,,,,,,,
Protoplanetary Disc: A protoplanetary disc is a ring of cosmic gas and dust surrounding a very young star. The disc might one day form into a system of planets and moons like our Solar System.,,,,,,,,,,,,,,,,,,,,,,原始惑星系円盤：原始惑星系円盤は、まさしく若い星を囲んでいるガスとちりでできた幅のある円盤です。この円盤は、やがて、私たちの太陽系のような惑星や衛星系をつくるかもしれません。,,,,,,,,,,,,,,,,,,
"Pulsar: Pulsars are extremely compact stars that spin around hundreds of times a second. Pulsars shoot out radio waves that shine towards us on Earth in pulses, like a lighthouse.",,,,,,,,,,,,,,,,,,,,,,パルサー：パルサーは、1秒につきおよそ数百回も回転しているとてもコンパクトな星です。パルサーは、灯台のように一定の間隔で地球の方へ輝く電波を放ちます。,,,,,,,,,,,,,,,,,,
Radio: Radio waves are a type of invisible light. Radio waves are mostly used in communications to send signals from one place to another. Mobile phones and TVs use radio waves.,,,,,,,,,,,,,,,,,,,,,,電波：電波は、目にお見えない光線の一種です。電波は、あちこちへ転転と信号を送るために、主に通信に使われます。携帯電話やテレビは、電波を使っています。,,,,,,,,,,,,,,,,,,
Red Dwarf: A red dwarf is a star that is very small and cool compared to other stars. These stars appear red because of their temperature (the coolest stars are red).,,,,,,,,,,,,,,,,,,,,,,赤色矮星（わいせい）：赤色矮星は、他の恒星と比較して非常に小さくて冷たい星です。望遠鏡で見ると、最も冷たい星は赤いので赤く見えます。,,,,,,,,,,,,,,,,,,
"Red Giant: When a star like the Sun runs out of hydrogen fuel to burn it begins to grow bigger and redder, turning into a red giant star.",,,,,,,,,,,,,,,,,,,,,,赤色巨星：太陽のような恒星の水素燃料が尽きたとき、より大きくてより赤くなり始めます。そして、赤色巨星に変わります。,,,,,,,,,,,,,,,,,,
Reflection Nebulae: Reflection nebulae are clouds of cosmic dust that reflect the light of a nearby stars. These clouds are usually blue.,,,,,,,,,,,,,,,,,,,,,,反射星雲：反射星雲は、近くの恒星の光を明るく反映する宇宙塵の雲です。これらの雲は、通常青くみえます。,,,,,,,,,,,,,,,,,,
"Robot: A Robot is a machine controlled by a computer. Robots can be taught to do many different things, like clean a carpet, control a telescope or even build a car!",,,,,,,,,,,,,,,,,,,,,,ロボット：ロボットは、コンピュータで制御（せいぎょ）される機械です。ロボットは多くのちがった動きを教えられるので、カーペットをきれいにできるように、望遠鏡を制御することができたり、車を造ることさえありえます。,,,,,,,,,,,,,,,,,,
"Saturn: Saturn is the sixth planet from the Sun and probably the most beautiful. Saturn is famous for its bright rings made out of ice, rock and other things.",,,,,,,,,,,,,,,,,,,,,,土星：土星は、太陽系で最も美しい第6番目の惑星です。土星は、氷や岩と他の物質からつくられた明るいリングで有名です。,,,,,,,,,,,,,,,,,,
"Solar Eclipse: When the Moon passes between the Sun and Earth and blocks out the Sun's light, we call it a ‘solar eclipse’",,,,,,,,,,,,,,,,,,,,,,日食：月が太陽と地球の間で、太陽の光をさえぎるときを日食といいます。,,,,,,,,,,,,,,,,,,
"Solar Rain: Just like Earth, it sometimes rains on the Sun. But this rain is not made of water, it is made of electrically charged, superheated gas, called plasma.",,,,,,,,,,,,,,,,,,,,,,太陽雨：地球のように、時々太陽にも雨が降りますが、この雨は水でできていません。プラズマという帯電してた、過熱したガスでできています。,,,,,,,,,,,,,,,,,,
"Solar System: The Solar System is made up of the Sun and everything that moves around it. There are eight planets, five dwarf planets and lots of moons, comets, asteroids and meteoroids.",,,,,,,,,,,,,,,,,,,,,,太陽系：太陽系は、太陽とそれを回るすべての天体からなり、8つの惑星、5つの準惑星と彗星、小惑星と流星体などのたくさんの衛星からなります。,,,,,,,,,,,,,,,,,,
"Spectrograph: An instrument that collects light and spreads it, like a prism. Believe it or not, the light reveals signatures of different elements in the atmospheres around stars.",,,,,,,,,,,,,,,,,,,,,,分光写真：光を集めて、それを広げるプリズムのように、恒星から出た光は大気で異なる元素の特徴あるもようを持っています。,,,,,,,,,,,,,,,,,,
"Spiral Galaxy: There are three types of galaxy which all have different shapes. Spiral galaxies are the most beautiful, with long star-filled arms twisting around a bright central bulge.",,,,,,,,,,,,,,,,,,,,,,渦巻（うずまき）銀河：異なった3種類の銀河があり、なかでもたくさんの恒星を持つ長い腕が明るい中心のふくらみにからみついている渦巻銀河は最も美しいです。,,,,,,,,,,,,,,,,,,
Star: A star is a massive ball of luminous hot gas held together by gravity. Our nearest star is called the Sun.,,,,,,,,,,,,,,,,,,,,,,恒星（こうせい）：恒星は、引力によってひとかたまりになった発光している熱いガスの巨大な球体です。最も近い恒星は、太陽といいます。,,,,,,,,,,,,,,,,,,
"Starburst Galaxy: Starburst galaxies are galaxies where stars are being made at a very fast rate, normally about 10,000 times faster than in a normal galaxy!",,,,,,,,,,,,,,,,,,,,,,"スターバースト銀河：スターバースト銀河は、ふつうの銀河よりおよそ10,000倍も速く、星が作られている銀河です。",,,,,,,,,,,,,,,,,,
Star Cluster: A Star Cluster is a huge group of stars bound together by gravity. A star cluster can contain a few hundred stars or many millions.,,,,,,,,,,,,,,,,,,,,,,星団：星団は、引力によって結びついた恒星の巨大な集団です。星団には、数百から数百万の恒星があります。,,,,,,,,,,,,,,,,,,
Sun: The Sun is a star. It is the centre of our Solar System and everything else in the Solar System moves around it. Without the Sun’s light and heat life could not survive on Earth.,,,,,,,,,,,,,,,,,,,,,,太陽：太陽は、恒星の一つです。太陽系の中心で、太陽系の他のすべての天体がそのまわりを回ります。太陽の光なしでは、生命が地球上で生き残ることはできません。,,,,,,,,,,,,,,,,,,
Supernova: The explosive death of a massive star is called a supernova. They are amongst the most energetic events in the Universe and are so bright they can outshine an entire galaxy!,,,,,,,,,,,,,,,,,,,,,,超新星：巨大な星の爆発的な死を、超新星といいます。宇宙で最も精力的なできごとで、すべての銀河よりも明るくかがやきます。,,,,,,,,,,,,,,,,,,
Supernova Remnant: A supernova remnant is a cloud of cosmic gas and dust created by the violent explosion of a massive star. The supernova remnant is what remains of the unfortunate star.,,,,,,,,,,,,,,,,,,,,,,超新星残がい：超新星残がいは、巨大な星の激しい爆発によってつくられる宇宙ガスとちりの雲です。超新星残がいは、不運な星の残りかすです。,,,,,,,Rămășită de supernova: O rămășiță de supernovă este un nor cosmic format din gaz și praf rezultat în urma exploziei violente a unei stele masive. Rămășița de supernovă este ceea ce rămâne din steua nefericită.,,,,,,,,,,,
"Telescope: A Telescope is an instrument used to see objects that are very far away. Telescopes are often used to look at distant planets, stars and galaxies.",,,,,,,,,,,,,,,,,,,,,,望遠鏡：望遠鏡は、非常に遠く離れている天体を見るのに用いられる器具です。望遠鏡を使って、遠い惑星や星や銀河を見ます。,,,,,,,"Telescop: Un telescop este un instrument folosit pentru a vedea obictele situate la distanțe foarte mari. Cel mai adesea telescoapele sunt folosite pentru a ne uita la planetele îndepărtate, stele și galaxii.",,,,,,,,,,,
"Terrestrial Planets: Mercury, Venus, Earth and Mars are called the terrestrial planets (pronounced ""Ter-EST-ree-al""). All four of these planets are similar to Earth in size and are made of rock.",,,,,,,,,,,,,,,,,,,,,,地球型惑星：水星、金星、地球と火星を地球型惑星といい、大きさにおいて地球と同程度で、岩でできています。,,,,,,,"Planete telurice: Mercur, Venus, Pământul și Marte mai poartă numele și de planete telurile. Toate aceste planete sunt asemănătoare Pământului în ceea ce privește mărimea și compoziția.",,,,,,,,,,,
Ultraviolet: Ultraviolet (often shortened to UV) is an invisible type of light. UV waves have high energy. UV rays from the Sun are capable of damaging cells in our skin and causing sunburn.,,,,,,,,,,,,,,,,,,,,,,紫外線：見えない光の一種で、紫外線（略してUV）があります。UV波は、高エネルギーを持ち、太陽からのUV光線は、私たちの皮膚の細胞に損傷を与えて、日焼けを引き起こします。,,,,,,,Ultraviolet: Razele ultraviolet (adesea prescurtate UV) reprezintă un tip de lumină invizibilă. Undele UV au energie mare. Razele UV provenite de la Soare pot distruge celulele din pielea noastră provocând arsuri.,,,,,,,,,,,
"Universe: The Universe is everything that exists, all planets, stars, galaxies and every other object on Earth and in space.",,,,,,,,,,,,,,,,,,,,,,宇宙：宇宙は存在するすべてです。すべての天体、惑星、恒星、銀河や地球の上に存在するものすべてです。,,,,,,,"Univers: Universul reprezintă tot ceea ce există, toate planetele, stelele, galaxiile și toate celelalte obiecte de pe Pământ și din spațiu.",,,,,,,,,,,
"Uranus: Uranus is a cold blue, gas planet that lies far from the Sun. Unlike all the other planets, Uranus lies on its side, with its South Pole facing the Sun.",,,,,,,,,,,,,,,,,,,,,,天王星：天王星は、太陽から遠くはなれた冷たく青いガス惑星です。他の惑星とちがって、太陽にたいして横向けに倒れていて南極を向けています。,,,,,,,"Uranus: Uranus este o planetă gazoasă, albastră care se află situată la mare distanță de Soare. Spre deosebire de restul planetelor, Uranus se rotește în alt plan având polul sud spre Soare. ",,,,,,,,,,,
"Venus: Venus is the second planet from the Sun and the hottest planet in the Solar System. Venus is Earth’s twin in size, but unlike Earth it’s covered in ancient volcanoes!",,,,,,,,,,,,,,,,,,,,,,金星：金星は、太陽から2番目の惑星で太陽系で最も熱い惑星です。金星は大きさから地球の双子星だといわれていますが、地球とは異なり、古代の火山でおおわれています。,,,,,,,"Venus: Venus este a treia planetă de la Soare și una dintre cele mai fierbinți din Sistemul Solar. Venus este sora geamănă ca mărime a Pământului, dar spre deosebire de Pământ este acoperită de vulcani preistorici.",,,,,,,,,,,
Visible: Light Visible light is the only type of light that our eyes can detect. Visible light contains all the colours of the rainbow.,,,,,,,,,,,,,,,,,,,,,,可視：可視光は、わたしたちの目が見ることができる光の種類です。可視光は、虹のすべての色を含みます。,,,,,,,Vizibilă: Lumina vizibilă reprezintă singura sursă de lumină care poate fi detectată de ochii noștri. Lumina vizibilă conține toate culorile curcubeului.,,,,,,,,,,,
"White Dwarf: When a Sun-like star has burned up all its fuel, it begins to collapse inwards. The material in the star's core ends up squashed tightly down into a tiny ball called a white dwarf.",,,,,,,,,,,,,,,,,,,,,,白色矮星（わいせい）：太陽似た恒星がすべてのその燃料を使い切ったとき、内部からくずれはじめます。恒星の芯の物質は、白色矮星と呼ばれている小さい球体に押しつぶされて終わりをむかえます。,,,,,,,Pitica albă: Atunci când o stea asemănătoare soarelui nostru rămâne fără combustibil începe să se prăbușească în ea însăși. În cele din urmă materia din interiorul stelei ajunge să fie comprimată într-o sferă foarte mică și densă care poartă numele de pitică albă.,,,,,,,,,,,
"X-ray: X-rays are a type of invisible light. X-rays can travel through soft tissue like skin and muscle, so they can be used to take pictures of broken bones.",,,,,,,,,,,,,,,,,,,,,,Ｘ線：Ｘ線は、目に見えない光です。Ｘ線は皮膚と筋肉のように柔らかい組織を通り抜けることができるので、骨折の画像に使うことができます。発見者の名前からレントゲン写真ということもあります。,,,,,,,"Razele X: Razele X reprezintă un tip de lumină. Razele X pot călători prin țesuturile moi cum ar fi pielea sau mușchii, prin urmare ele pot fi folosite pentru a fotografia oasele rupte.",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This website was produced by funding from the European Community's Horizon 2020 Programme under grant agreement n° 638653,,"Questo sito web è realizzato grazie al finanziamento della Comunità Europea, con l'accordo n°  638653 del Programma Horizon 20202",,,,,تم إطلاق هذا الموقع بتمويل من برنامج الاتحاد الأوروبي (Horizon 2020) بموجب إتفاقية المنحة (n,এই ওয়েবসাইট অনুদান চুক্তির অধীনে ইউরোপিয়ান কমিউনিটি এর হরাইজন 2020 কর্মসূচি থেকে অর্থায়ন দ্বারা উত্পাদিত হয় N ° 638653,,,,Denne side er produceret med støtte fra European Community's Horizon 2020 Programme gennem bevillingsaftale n° 638653,,Ce site web a été réalisé grâce au financement du Programme Horizon 2020 de la Communauté Européenne sur la base de l'accord de subvention numéro 638653,Αυτή η σελίδα παράχθηκε με χρηματοδότηση του προγράμματος Ορίζοντας 2020 της Ευρωπαικής Ένωσης (αριθμός σύμβασης 638653),,"האתר הופק בעזרת מימון של תוכנית Horizon 2020 של האיחוד האירופי, במסגרת מענק מס' 638653","
इस वेबसाइट अनुदान समझौते के तहत यूरोपीय समुदाय के क्षितिज 2020 कार्यक्रम से धन के द्वारा तैयार की गई थी n ° 638,653",,,Situs ini didanai oleh Program European Community's Horizon 2020 berdasarkan perjanjian n° 638653,このウェブページはn° 638653の助成によるECH2020プログラム基金によって作られました。,"We uxaq web' xwinaqirisax rumal le cholb'al chak rech le Wokaj rech Europa Horizon 2020, ruk' le uwujil uk'amik chak rech tob'anem n° 638653. ",,,,Denne websiden er produsert med støtte fra European Community's Horizon 2020 Programme under tilskuddsavtale nr. 638653,,"Acest website a fost realizat pe faza unei finanțări în cadrul programului Comunității Europene -  Horizon 2020, grant  n° 638653.","Этот портал был создан при финансовой поддержке Европейского сообщества программы ""Горизонт 2020"" в рамках грантового соглашения № 638653",,To spletno stran financira program Obzorje 2020 Evropske komisije po pogodbi n° 638653,,,,Bu web sayfası Avrupa Komisyonu'nun Ufuk2020 Programına bağlı n° 638653 nolu anlaşmasınca desteklenmektedir,,"Ця інтернет сторінка була створена за фінансової підтримки програми ""Horizon 2020"" від Європейської спільноти в рамках угоди про надання гранту №638653 ",Trang thông tin này được thực hiện với thỏa thuận tài trợ số 638653 của Chương trình Chân trời 2020 của Cộng đồng Châu Âu.,
